Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Medal
Simon Peter Burgess,M,33.0,178.0,70.0,Australia,2000,Summer,Sydney,Rowing,Silver
Simon Peter Burgess,M,36.0,178.0,70.0,Australia,2004,Summer,Athina,Rowing,Silver
Michelle Burgher,F,23.0,170.0,62.0,Jamaica,2000,Summer,Sydney,Athletics,Silver
Michelle Burgher,F,27.0,170.0,62.0,Jamaica,2004,Summer,Athina,Athletics,Bronze
David George Brownlow Cecil Burghley,M,23.0,180.0,70.0,Great Britain,1928,Summer,Amsterdam,Athletics,Gold
David George Brownlow Cecil Burghley,M,27.0,180.0,70.0,Great Britain,1932,Summer,Los Angeles,Athletics,Silver
Leonid Iosypovych Buriak,M,23.0,180.0,70.0,Soviet Union,1976,Summer,Montreal,Football,Bronze
Damir Buri,M,31.0,205.0,115.0,Croatia,2012,Summer,London,Water Polo,Gold
Damir Buri,M,35.0,205.0,115.0,Croatia,2016,Summer,Rio de Janeiro,Water Polo,Silver
Petra Burka,F,17.0,153.0,60.0,Canada,1964,Winter,Innsbruck,Figure Skating,Bronze
Claudia Ins Burkart,F,24.0,165.0,68.0,Argentina,2004,Summer,Athina,Hockey,Bronze
Claudia Ins Burkart,F,28.0,165.0,68.0,Argentina,2008,Summer,Beijing,Hockey,Bronze
Barbara Hannah Anita Burke (-Knight),F,19.0,177.0,63.0,Great Britain,1936,Summer,Berlin,Athletics,Silver
"Daniel ""Dan"" Burke",M,26.0,193.0,93.0,Australia,2000,Summer,Sydney,Rowing,Silver
"Douglas Lambert ""Doug"" Burke",M,27.0,183.0,82.0,United States,1984,Summer,Los Angeles,Water Polo,Silver
Lynn Edythe Burke (-McConville),F,17.0,173.0,61.0,United States,1960,Summer,Roma,Swimming,Gold
Miles J. Burke,M,19.0,160.0,49.0,United States,1904,Summer,St. Louis,Boxing,Silver
Sean Burke,M,25.0,192.0,95.0,Canada,1992,Winter,Albertville,Ice Hockey,Silver
Steven James Burke,M,20.0,183.0,78.0,Great Britain,2008,Summer,Beijing,Cycling,Bronze
Steven James Burke,M,24.0,183.0,78.0,Great Britain,2012,Summer,London,Cycling,Gold
Steven James Burke,M,28.0,183.0,78.0,Great Britain,2016,Summer,Rio de Janeiro,Cycling,Gold
"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,1896,Summer,Athina,Athletics,Gold
Daniil Sergeyevich Burkenya,M,26.0,198.0,85.0,Russia,2004,Summer,Athina,Athletics,Bronze
Tommy Loren Burleson,M,20.0,223.0,102.0,United States,1972,Summer,Munich,Basketball,Silver
Peter Burling,M,21.0,186.0,82.0,New Zealand,2012,Summer,London,Sailing,Silver
Peter Burling,M,25.0,186.0,82.0,New Zealand,2016,Summer,Rio de Janeiro,Sailing,Gold
Hanna Viktorivna Burmistrova,F,27.0,182.0,73.0,Ukraine,2004,Summer,Athina,Handball,Bronze
Howard McNeal Burnett,M,27.0,193.0,72.0,Jamaica,1988,Summer,Seoul,Athletics,Silver
Jason Nicholas Burnett,M,21.0,165.0,68.0,Canada,2008,Summer,Beijing,Trampolining,Silver
Kevin Lobdell Burnham,M,35.0,185.0,70.0,United States,1992,Summer,Barcelona,Sailing,Silver
Kevin Lobdell Burnham,M,47.0,185.0,70.0,United States,2004,Summer,Athina,Sailing,Gold
"William Lawrie ""Billy"" Burns",M,29.0,180.0,73.0,Winnipeg Shamrocks-1,1904,Summer,St. Louis,Lacrosse,Gold
Lauren Chantel Burns (-Muller),F,26.0,165.0,49.0,Australia,2000,Summer,Sydney,Taekwondo,Gold
Lindsay H. Burns,F,31.0,174.0,58.0,United States,1996,Summer,Atlanta,Rowing,Silver
Marc Burns,M,25.0,183.0,91.0,Trinidad and Tobago,2008,Summer,Beijing,Athletics,Gold
Marc Burns,M,29.0,183.0,91.0,Trinidad and Tobago,2012,Summer,London,Athletics,Silver
Adrian Mark Burnside,M,27.0,193.0,100.0,Australia,2004,Summer,Athina,Baseball,Silver
Nikolay Aleksandrovich Burobin,M,27.0,181.0,82.0,Soviet Union,1964,Summer,Tokyo,Volleyball,Gold
Hannelore Burosch (-Khnert),F,28.0,175.0,73.0,East Germany,1976,Summer,Montreal,Handball,Silver
Leslie Michele Burr-Howard (-Leneghan-),F,27.0,167.0,55.0,United States,1984,Summer,Los Angeles,Equestrianism,Gold
Leslie Michele Burr-Howard (-Leneghan-),F,39.0,167.0,55.0,United States,1996,Summer,Atlanta,Equestrianism,Silver
Leroy Russell Burrell,M,25.0,183.0,82.0,United States,1992,Summer,Barcelona,Athletics,Gold
Jordan Ernest Burroughs,M,24.0,171.0,79.0,United States,2012,Summer,London,Wrestling,Gold
Sean Patrick Burroughs,M,20.0,188.0,91.0,United States,2000,Summer,Sydney,Baseball,Gold
Wellington Parker Burtnett Jr.,M,25.0,182.0,84.0,United States,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Silver
Christopher Burton,M,34.0,180.0,70.0,Australia,2016,Summer,Rio de Janeiro,Equestrianism,Bronze
"Michael Jay ""Mike"" Burton",M,21.0,175.0,70.0,United States,1968,Summer,Mexico City,Swimming,Gold
"Michael Jay ""Mike"" Burton",M,25.0,175.0,70.0,United States,1972,Summer,Munich,Swimming,Gold
Tom Burton,M,26.0,180.0,81.0,Australia,2016,Summer,Rio de Janeiro,Sailing,Gold
Mikhail Ivanovich Burtsev,M,20.0,178.0,74.0,Soviet Union,1976,Summer,Montreal,Fencing,Gold
Mikhail Ivanovich Burtsev,M,24.0,178.0,74.0,Soviet Union,1980,Summer,Moskva,Fencing,Silver
Mikhail Ivanovich Burtsev,M,24.0,178.0,74.0,Soviet Union,1980,Summer,Moskva,Fencing,Gold
Mikhail Ivanovich Burtsev,M,32.0,178.0,74.0,Soviet Union,1988,Summer,Seoul,Fencing,Silver
Michel Georges Bury,M,32.0,179.0,74.0,France,1984,Summer,Los Angeles,Shooting,Silver
Olga Valentinovna Buryakina,F,30.0,174.0,62.0,Soviet Union,1988,Summer,Seoul,Basketball,Bronze
Bianka Bua,F,22.0,187.0,74.0,Serbia,2016,Summer,Rio de Janeiro,Volleyball,Silver
Istvn Busa,M,27.0,170.0,72.0,Hungary,1988,Summer,Seoul,Fencing,Bronze
Sabine Busch (-Ascui),F,25.0,177.0,66.0,East Germany,1988,Summer,Seoul,Athletics,Bronze
Antje Buschschulte (-Meeuw),F,17.0,186.0,75.0,Germany,1996,Summer,Atlanta,Swimming,Bronze
Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,2000,Summer,Sydney,Swimming,Bronze
Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,2004,Summer,Athina,Swimming,Bronze
Frank Busemann,M,21.0,191.0,80.0,Germany,1996,Summer,Atlanta,Athletics,Silver
Karl-Heinz Buert,M,21.0,194.0,84.0,East Germany,1976,Summer,Montreal,Rowing,Gold
Lesley Leigh Bush (-Hickcox -Makepeace),F,17.0,163.0,52.0,United States,1964,Summer,Tokyo,Diving,Gold
"Bertram Herbert Thomas ""Bert"" Bushnell",M,26.0,178.0,67.0,Great Britain,1948,Summer,London,Rowing,Gold
Viktor Georgiyevich Bushuyev,M,27.0,162.0,67.0,Soviet Union,1960,Summer,Roma,Weightlifting,Gold
Andro Bulje,M,26.0,200.0,115.0,Croatia,2012,Summer,London,Water Polo,Gold
Andro Bulje,M,30.0,200.0,115.0,Croatia,2016,Summer,Rio de Janeiro,Water Polo,Silver
Yevhen Leonidovych Buslovych,M,28.0,168.0,58.0,Ukraine,2000,Summer,Sydney,Wrestling,Silver
"Gabriele ""Gaby"" Bumann",F,24.0,170.0,57.0,West Germany,1984,Summer,Los Angeles,Athletics,Bronze
Crystl Irene Bustos,F,23.0,173.0,102.0,United States,2000,Summer,Sydney,Softball,Gold
Crystl Irene Bustos,F,26.0,173.0,102.0,United States,2004,Summer,Athina,Softball,Gold
Crystl Irene Bustos,F,30.0,173.0,102.0,United States,2008,Summer,Beijing,Softball,Silver
Veniamin Yevgenyevich But,M,27.0,191.0,95.0,Soviet Union,1988,Summer,Seoul,Rowing,Silver
Yvonne Buter,F,29.0,162.0,58.0,Netherlands,1988,Summer,Seoul,Hockey,Bronze
Simone Buti,M,32.0,206.0,100.0,Italy,2016,Summer,Rio de Janeiro,Volleyball,Silver
Micha Butkiewicz,M,26.0,173.0,69.0,Poland,1968,Summer,Mexico City,Fencing,Bronze
Aleksandr Anatolyevich Butko,M,26.0,198.0,97.0,Russia,2012,Summer,London,Volleyball,Gold
Vytautas Butkus,M,26.0,190.0,86.0,Soviet Union,1976,Summer,Montreal,Rowing,Silver
Dean William Butler,M,27.0,172.0,72.0,Australia,2004,Summer,Athina,Hockey,Gold
Everard Burnside Butler,M,26.0,183.0,72.0,Canada,1912,Summer,Stockholm,Rowing,Bronze
Jimmy Butler III,M,26.0,201.0,99.0,United States,2016,Summer,Rio de Janeiro,Basketball,Gold
Leon Edward Butler,M,31.0,183.0,75.0,United States,1924,Summer,Paris,Rowing,Bronze
Vyacheslav Gennadyevich Butsayev,M,21.0,187.0,83.0,Unified Team,1992,Winter,Albertville,Ice Hockey,Gold
Jahangir Ahmed Butt,M,25.0,175.0,70.0,Pakistan,1968,Summer,Mexico City,Hockey,Gold
Jahangir Ahmed Butt,M,29.0,175.0,70.0,Pakistan,1972,Summer,Munich,Hockey,Silver
Linus Butt,M,29.0,186.0,83.0,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
"Jeffrey ""Jeff"" Buttle",M,23.0,173.0,60.0,Canada,2006,Winter,Torino,Figure Skating,Bronze
James Aaron Butts,M,26.0,188.0,82.0,United States,1976,Summer,Montreal,Athletics,Silver
Matthew Butturini,M,24.0,181.0,81.0,Australia,2012,Summer,London,Hockey,Bronze
Dajana Butulija,F,30.0,175.0,65.0,Serbia,2016,Summer,Rio de Janeiro,Basketball,Bronze
Nataliya Anatolyevna Butuzova,F,26.0,167.0,58.0,Soviet Union,1980,Summer,Moskva,Archery,Silver
"Anton Gerrit Jan ""Ton"" Buunk",M,23.0,196.0,91.0,Netherlands,1976,Summer,Montreal,Water Polo,Bronze
Nataliya Vasilyevna Buzunova,F,22.0,172.0,66.0,Soviet Union,1980,Summer,Moskva,Hockey,Bronze
Ilya Vladimirovich Byakin,M,25.0,178.0,83.0,Soviet Union,1988,Winter,Calgary,Ice Hockey,Gold
Karyn L. Bye (-Dietz),F,26.0,173.0,75.0,United States,1998,Winter,Nagano,Ice Hockey,Gold
Karyn L. Bye (-Dietz),F,30.0,173.0,75.0,United States,2002,Winter,Salt Lake City,Ice Hockey,Silver
Byeon Cheon-Sa,F,18.0,167.0,58.0,South Korea,2006,Winter,Torino,Short Track Speed Skating,Gold
Byeon Gyeong-Ja,F,20.0,172.0,61.0,South Korea,1976,Summer,Montreal,Volleyball,Bronze
Anatoly Mikhaylovich Bykov,M,22.0,170.0,74.0,Soviet Union,1976,Summer,Montreal,Wrestling,Gold
Anatoly Mikhaylovich Bykov,M,26.0,170.0,74.0,Soviet Union,1980,Summer,Moskva,Wrestling,Silver
"Vyacheslav Arkadyevich ""Slava"" Bykov",M,27.0,173.0,73.0,Soviet Union,1988,Winter,Calgary,Ice Hockey,Gold
"Vyacheslav Arkadyevich ""Slava"" Bykov",M,31.0,173.0,73.0,Unified Team,1992,Winter,Albertville,Ice Hockey,Gold
Nataliya Viktorovna Bykova (-Zvonaryova),F,21.0,160.0,59.0,Soviet Union,1980,Summer,Moskva,Hockey,Bronze
Tamara Vladimirovna Bykova,F,29.0,179.0,62.0,Soviet Union,1988,Summer,Seoul,Athletics,Bronze
Bror Erik Bylhn,M,26.0,172.0,61.0,Sweden,1924,Summer,Paris,Athletics,Silver
Bror Erik Bylhn,M,30.0,172.0,61.0,Sweden,1928,Summer,Amsterdam,Athletics,Silver
Ingamay Christina Bylund,F,36.0,176.0,64.0,Sweden,1984,Summer,Los Angeles,Equestrianism,Bronze
"Christopher Cornelius ""Chris"" Byrd",M,21.0,185.0,75.0,United States,1992,Summer,Barcelona,Boxing,Silver
"Richard Leslie ""Dick"" Byrd",M,19.0,181.0,88.0,United States,1912,Summer,Stockholm,Athletics,Silver
James Andrew Byrnes,M,25.0,200.0,93.0,Canada,2008,Summer,Beijing,Rowing,Gold
James Andrew Byrnes,M,29.0,200.0,93.0,Canada,2012,Summer,London,Rowing,Silver
"Jacob Walter ""Wally"" Byron",M,35.0,180.0,65.0,Canada,1920,Summer,Antwerpen,Ice Hockey,Gold
Galina Petrovna Bystrova (Dolzhenkova-),F,30.0,170.0,65.0,Soviet Union,1964,Summer,Tokyo,Athletics,Bronze
Nataliya Bystrova,F,17.0,175.0,67.0,Soviet Union,1964,Summer,Tokyo,Swimming,Bronze
Lars Bystl,M,27.0,179.0,60.0,Norway,2006,Winter,Torino,Ski Jumping,Gold
Lars Bystl,M,27.0,179.0,60.0,Norway,2006,Winter,Torino,Ski Jumping,Bronze
Francisco Caballer Saleras,M,27.0,175.0,80.0,Spain,1960,Summer,Roma,Hockey,Bronze
Denia Caballero Ponce,F,26.0,175.0,70.0,Cuba,2016,Summer,Rio de Janeiro,Athletics,Bronze
Nuria Cabanillas Provencio,F,15.0,162.0,38.0,Spain,1996,Summer,Atlanta,Rhythmic Gymnastics,Gold
Alba Mara Cabello Rodilla,F,22.0,163.0,47.0,Spain,2008,Summer,Beijing,Synchronized Swimming,Silver
Alba Mara Cabello Rodilla,F,26.0,163.0,47.0,Spain,2012,Summer,London,Synchronized Swimming,Bronze
Javier Cabot Durn,M,26.0,170.0,69.0,Spain,1980,Summer,Moskva,Hockey,Silver
Ricardo Cabot Durn,M,30.0,174.0,76.0,Spain,1980,Summer,Moskva,Hockey,Silver
"Frederike Jacobie ""Mieke"" Cabout",F,22.0,182.0,70.0,Netherlands,2008,Summer,Beijing,Water Polo,Gold
Delfo Cabrera Gmez,M,29.0,172.0,59.0,Argentina,1948,Summer,London,Athletics,Gold
Fermn Cacho Ruiz,M,23.0,175.0,65.0,Spain,1992,Summer,Barcelona,Athletics,Gold
Fermn Cacho Ruiz,M,27.0,175.0,65.0,Spain,1996,Summer,Atlanta,Athletics,Silver
"Raymond ""Ray"" Cadieux",M,26.0,178.0,77.0,Canada,1968,Winter,Grenoble,Ice Hockey,Bronze
Ernest Cadine,M,26.0,167.0,82.0,France,1920,Summer,Antwerpen,Weightlifting,Gold
Jrmy Cadot,M,29.0,185.0,78.0,France,2016,Summer,Rio de Janeiro,Fencing,Silver
Erin Jane Cafaro (-McKenzie),F,25.0,175.0,73.0,United States,2008,Summer,Beijing,Rowing,Gold
Erin Jane Cafaro (-McKenzie),F,29.0,175.0,73.0,United States,2012,Summer,London,Rowing,Gold
Harold D. Cagle,M,22.0,178.0,64.0,United States,1936,Summer,Berlin,Athletics,Silver
Franco Giorgio Cagnotto,M,25.0,163.0,60.0,Italy,1972,Summer,Munich,Diving,Silver
Franco Giorgio Cagnotto,M,25.0,163.0,60.0,Italy,1972,Summer,Munich,Diving,Bronze
Franco Giorgio Cagnotto,M,29.0,163.0,60.0,Italy,1976,Summer,Montreal,Diving,Silver
Franco Giorgio Cagnotto,M,33.0,163.0,60.0,Italy,1980,Summer,Moskva,Diving,Bronze
Tania Cagnotto (-Parolin),F,31.0,160.0,54.0,Italy,2016,Summer,Rio de Janeiro,Diving,Bronze
Tania Cagnotto (-Parolin),F,31.0,160.0,54.0,Italy,2016,Summer,Rio de Janeiro,Diving,Silver
Yav Samuel Sylvain Cahard,M,22.0,180.0,86.0,France,1980,Summer,Moskva,Cycling,Silver
Trevor John Cahill,M,20.0,193.0,99.0,United States,2008,Summer,Beijing,Baseball,Bronze
Caitlin Kinder Cahow,F,20.0,163.0,68.0,United States,2006,Winter,Torino,Ice Hockey,Bronze
Caitlin Kinder Cahow,F,24.0,163.0,68.0,United States,2010,Winter,Vancouver,Ice Hockey,Silver
Cai Huijue,F,16.0,174.0,63.0,China,1996,Summer,Atlanta,Swimming,Bronze
Cai Tongtong,F,18.0,168.0,48.0,China,2008,Summer,Beijing,Rhythmic Gymnastics,Silver
Cai Yalin,M,23.0,174.0,60.0,China,2000,Summer,Sydney,Shooting,Gold
Cai Yun,M,28.0,181.0,68.0,China-1,2008,Summer,Beijing,Badminton,Silver
Cai Yun,M,32.0,181.0,68.0,China-1,2012,Summer,London,Badminton,Gold
Cai Zelin,M,25.0,175.0,55.0,China,2016,Summer,Rio de Janeiro,Athletics,Silver
Carl Cecil Cain,M,22.0,190.0,86.0,United States,1956,Summer,Melbourne,Basketball,Gold
"Lawrence J. ""Larry"" Cain",M,21.0,182.0,83.0,Canada,1984,Summer,Los Angeles,Canoeing,Gold
"Lawrence J. ""Larry"" Cain",M,21.0,182.0,83.0,Canada,1984,Summer,Los Angeles,Canoeing,Silver
Chiara Cainero,F,30.0,171.0,81.0,Italy,2008,Summer,Beijing,Shooting,Gold
Chiara Cainero,F,38.0,171.0,81.0,Italy,2016,Summer,Rio de Janeiro,Shooting,Silver
Maureen Caird (-Jones),F,17.0,165.0,52.0,Australia,1968,Summer,Mexico City,Athletics,Gold
Christopher Cairns,M,27.0,177.0,68.0,Australia,1984,Summer,Los Angeles,Sailing,Bronze
Petr ajnek,M,30.0,180.0,82.0,Czech Republic,2006,Winter,Torino,Ice Hockey,Bronze
Asl akr (-Alptekin),F,26.0,168.0,50.0,Turkey,2012,Summer,London,Athletics,Gold
David Cal Figueroa,M,21.0,183.0,86.0,Spain,2004,Summer,Athina,Canoeing,Silver
David Cal Figueroa,M,21.0,183.0,86.0,Spain,2004,Summer,Athina,Canoeing,Gold
David Cal Figueroa,M,25.0,183.0,86.0,Spain,2008,Summer,Beijing,Canoeing,Silver
David Cal Figueroa,M,29.0,183.0,86.0,Spain,2012,Summer,London,Canoeing,Silver
Giovanni Calabrese,M,33.0,184.0,88.0,Italy,2000,Summer,Sydney,Rowing,Bronze
Lucas Calabrese,M,25.0,168.0,60.0,Argentina,2012,Summer,London,Sailing,Bronze
Jordi Joan Calafat Estelrich,M,24.0,174.0,64.0,Spain,1992,Summer,Barcelona,Sailing,Gold
Giampaolo Calanchini,M,23.0,178.0,73.0,Italy,1960,Summer,Roma,Fencing,Bronze
Giampaolo Calanchini,M,27.0,178.0,73.0,Italy,1964,Summer,Tokyo,Fencing,Silver
Wladimiro Calarese,M,29.0,169.0,77.0,Italy,1960,Summer,Roma,Fencing,Bronze
Wladimiro Calarese,M,34.0,169.0,77.0,Italy,1964,Summer,Tokyo,Fencing,Silver
Wladimiro Calarese,M,38.0,169.0,77.0,Italy,1968,Summer,Mexico City,Fencing,Silver
Attilio Calatroni,M,26.0,174.0,63.0,Italy,1976,Summer,Montreal,Fencing,Silver
Alessandro Calcaterra,M,21.0,187.0,102.0,Italy,1996,Summer,Atlanta,Water Polo,Bronze
Roberto Calcaterra,M,24.0,186.0,90.0,Italy,1996,Summer,Atlanta,Water Polo,Bronze
Gianni Caldana,M,22.0,180.0,70.0,Italy,1936,Summer,Berlin,Athletics,Silver
Paolo Caldarella,M,27.0,187.0,88.0,Italy,1992,Summer,Barcelona,Water Polo,Gold
"David ""Dave"" Calder",M,30.0,195.0,90.0,Canada,2008,Summer,Beijing,Rowing,Silver
"Stephen ""Steve"" Calder",M,26.0,204.0,96.0,Canada,1984,Summer,Los Angeles,Sailing,Bronze
Jos Manuel Caldern Borrallo,M,26.0,191.0,90.0,Spain,2008,Summer,Beijing,Basketball,Silver
Jos Manuel Caldern Borrallo,M,30.0,191.0,90.0,Spain,2012,Summer,London,Basketball,Silver
Jos Manuel Caldern Borrallo,M,34.0,191.0,90.0,Spain,2016,Summer,Rio de Janeiro,Basketball,Bronze
Miguel Caldern Gmez,M,21.0,183.0,79.0,Cuba,1972,Summer,Munich,Basketball,Bronze
Rosir Calderon Daz,F,19.0,191.0,70.0,Cuba,2004,Summer,Athina,Volleyball,Bronze
Miguel Calds Luis,M,25.0,185.0,85.0,Cuba,1996,Summer,Atlanta,Baseball,Gold
Miguel Calds Luis,M,29.0,185.0,85.0,Cuba,2000,Summer,Sydney,Baseball,Silver
Vladimr Caldr,M,25.0,177.0,81.0,Czechoslovakia,1984,Winter,Sarajevo,Ice Hockey,Silver
Hilary Caldwell,F,25.0,173.0,61.0,Canada,2016,Summer,Rio de Janeiro,Swimming,Bronze
Hubert Augustus Caldwell (-Aspinwall),M,20.0,189.0,84.0,United States,1928,Summer,Amsterdam,Rowing,Gold
"Joseph Louis ""Joe"" Caldwell",M,22.0,196.0,89.0,United States,1964,Summer,Tokyo,Basketball,Gold
Hctor O. Calegaris,M,45.0,175.0,75.0,Tango,1960,Summer,Roma,Sailing,Silver
Anton Calenic,M,25.0,181.0,78.0,Romania,1968,Summer,Mexico City,Canoeing,Silver
Lee Quincy Calhoun,M,23.0,185.0,75.0,United States,1956,Summer,Melbourne,Athletics,Gold
Lee Quincy Calhoun,M,27.0,185.0,75.0,United States,1960,Summer,Roma,Athletics,Gold
Ryan Callahan,M,24.0,180.0,86.0,United States,2010,Winter,Vancouver,Ice Hockey,Silver
Mara Luisa Calle Williams,F,35.0,170.0,51.0,Colombia,2004,Summer,Athina,Cycling,Bronze
Clarence H. Callender,M,26.0,179.0,75.0,Great Britain,1988,Summer,Seoul,Athletics,Silver
Emmanuel Earl Callender,M,24.0,189.0,86.0,Trinidad and Tobago,2008,Summer,Beijing,Athletics,Gold
Emmanuel Earl Callender,M,28.0,189.0,86.0,Trinidad and Tobago,2012,Summer,London,Athletics,Silver
Els Callens,F,30.0,177.0,58.0,Belgium,2000,Summer,Sydney,Tennis,Bronze
Novella Calligaris,F,17.0,163.0,48.0,Italy,1972,Summer,Munich,Swimming,Silver
Novella Calligaris,F,17.0,163.0,48.0,Italy,1972,Summer,Munich,Swimming,Bronze
Facundo Callioni,M,30.0,183.0,77.0,Argentina,2016,Summer,Rio de Janeiro,Hockey,Gold
Ashley John Callus,M,21.0,188.0,85.0,Australia,2000,Summer,Sydney,Swimming,Gold
Ashley John Callus,M,29.0,188.0,85.0,Australia,2008,Summer,Beijing,Swimming,Bronze
Jan aloun,M,25.0,178.0,86.0,Czech Republic,1998,Winter,Nagano,Ice Hockey,Gold
Dyana Jane Calub,F,24.0,175.0,69.0,Australia,2000,Summer,Sydney,Swimming,Silver
Schillonie Calvert,F,23.0,166.0,57.0,Jamaica,2012,Summer,London,Athletics,Silver
Eva Calvo Gmez,F,25.0,176.0,57.0,Spain,2016,Summer,Rio de Janeiro,Taekwondo,Silver
Juan ngel Calzado de Castro,M,23.0,180.0,70.0,Spain,1960,Summer,Roma,Hockey,Bronze
"Elizabeth Folake ""Liz"" Cambage",F,20.0,203.0,98.0,Australia,2012,Summer,London,Basketball,Bronze
Ivn Cambar Rodrguez,M,28.0,163.0,77.0,Cuba,2012,Summer,London,Weightlifting,Bronze
Irene Camber-Corno,F,26.0,169.0,63.0,Italy,1952,Summer,Helsinki,Fencing,Gold
Irene Camber-Corno,F,34.0,169.0,63.0,Italy,1960,Summer,Roma,Fencing,Bronze
"Asuka Antonio ""Aska"" Cambridge",M,23.0,179.0,74.0,Japan,2016,Summer,Rio de Janeiro,Athletics,Silver
Ibrahim Camejo Savas,M,26.0,180.0,79.0,Cuba,2008,Summer,Beijing,Athletics,Bronze
"Bertland ""Bert"" Cameron",M,28.0,188.0,79.0,Jamaica,1988,Summer,Seoul,Athletics,Silver
Michelle A. Cameron (-Coulter),F,25.0,174.0,59.0,Canada,1988,Summer,Seoul,Synchronized Swimming,Gold
Tracy Cameron,F,33.0,172.0,58.0,Canada,2008,Summer,Beijing,Rowing,Bronze
Brett Camerota,M,25.0,167.0,59.0,United States,2010,Winter,Vancouver,Nordic Combined,Silver
Werner Camichel,M,26.0,177.0,80.0,Switzerland-1,1972,Winter,Sapporo,Bobsleigh,Gold
Tullio Camillotti,M,26.0,175.0,98.0,Italy,1906,Summer,Athina,Weightlifting,Silver
Tiago Henrique de Oliveira Camilo,M,18.0,180.0,90.0,Brazil,2000,Summer,Sydney,Judo,Silver
Tiago Henrique de Oliveira Camilo,M,26.0,180.0,90.0,Brazil,2008,Summer,Beijing,Judo,Bronze
Roberto Cammarelle,M,24.0,190.0,101.5,Italy,2004,Summer,Athina,Boxing,Bronze
Roberto Cammarelle,M,28.0,190.0,101.5,Italy,2008,Summer,Beijing,Boxing,Gold
Roberto Cammarelle,M,31.0,190.0,101.5,Italy,2012,Summer,London,Boxing,Silver
"Alessandro ""Sandro"" Campagna",M,29.0,182.0,80.0,Italy,1992,Summer,Barcelona,Water Polo,Gold
Loris Campana,M,25.0,177.0,75.0,Italy,1952,Summer,Helsinki,Cycling,Gold
Alan Campbell,M,29.0,191.0,96.0,Great Britain,2012,Summer,London,Rowing,Bronze
Bronte Campbell,F,22.0,179.0,58.0,Australia,2016,Summer,Rio de Janeiro,Swimming,Gold
Cassie Dawin Campbell (-Pascall),F,24.0,170.0,66.0,Canada,1998,Winter,Nagano,Ice Hockey,Silver
Cassie Dawin Campbell (-Pascall),F,28.0,170.0,66.0,Canada,2002,Winter,Salt Lake City,Ice Hockey,Gold
Cassie Dawin Campbell (-Pascall),F,32.0,170.0,66.0,Canada,2006,Winter,Torino,Ice Hockey,Gold
Cate Natalie Campbell,F,16.0,186.0,67.0,Australia,2008,Summer,Beijing,Swimming,Bronze
Cate Natalie Campbell,F,20.0,186.0,67.0,Australia,2012,Summer,London,Swimming,Gold
Cate Natalie Campbell,F,24.0,186.0,67.0,Australia,2016,Summer,Rio de Janeiro,Swimming,Gold
Cate Natalie Campbell,F,24.0,186.0,67.0,Australia,2016,Summer,Rio de Janeiro,Swimming,Silver
"Christopher Lundy ""Chris"" Campbell",M,37.0,172.0,90.0,United States,1992,Summer,Barcelona,Wrestling,Bronze
Darren Andrew Campbell,M,27.0,183.0,83.0,Great Britain,2000,Summer,Sydney,Athletics,Silver
Darren Andrew Campbell,M,30.0,183.0,83.0,Great Britain,2004,Summer,Athina,Athletics,Gold
Derrick Nathan Campbell,M,25.0,175.0,71.0,Canada,1998,Winter,Nagano,Short Track Speed Skating,Gold
"Eugene Edward ""Gene"" Campbell",M,23.0,182.0,77.0,United States,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Silver
"Jeffrey Guy ""Jeff"" Campbell",M,25.0,193.0,94.0,United States,1988,Summer,Seoul,Water Polo,Silver
"Jodocus David ""Jody"" Campbell",M,24.0,190.0,89.0,United States,1984,Summer,Los Angeles,Water Polo,Silver
"Jodocus David ""Jody"" Campbell",M,28.0,190.0,89.0,United States,1988,Summer,Seoul,Water Polo,Silver
"Milton Gray ""Milt"" Campbell",M,18.0,190.0,94.0,United States,1952,Summer,Helsinki,Athletics,Silver
"Milton Gray ""Milt"" Campbell",M,22.0,190.0,94.0,United States,1956,Summer,Melbourne,Athletics,Gold
George Peter Campbell,M,24.0,193.0,89.0,United States,1984,Summer,Los Angeles,Water Polo,Silver
George Peter Campbell,M,28.0,193.0,89.0,United States,1988,Summer,Seoul,Water Polo,Silver
"Anthony Eugene ""Tonie"" Campbell",M,28.0,188.0,77.0,United States,1988,Summer,Seoul,Athletics,Bronze
Veronica Angella Campbell-Brown,F,18.0,168.0,58.0,Jamaica,2000,Summer,Sydney,Athletics,Silver
Veronica Angella Campbell-Brown,F,22.0,168.0,58.0,Jamaica,2004,Summer,Athina,Athletics,Bronze
Veronica Angella Campbell-Brown,F,22.0,168.0,58.0,Jamaica,2004,Summer,Athina,Athletics,Gold
Veronica Angella Campbell-Brown,F,26.0,168.0,58.0,Jamaica,2008,Summer,Beijing,Athletics,Gold
Veronica Angella Campbell-Brown,F,30.0,168.0,58.0,Jamaica,2012,Summer,London,Athletics,Bronze
Veronica Angella Campbell-Brown,F,30.0,168.0,58.0,Jamaica,2012,Summer,London,Athletics,Silver
